"method","variant","system","output","input","value","local_gradient_std","sample_count","allowed_by_graph","controls","runtime_seconds","basis_terms","operating_input","basis_coefficients","raw_value","source_row_index","T1","T2","T3","T4","C","P","H","u1","u2","u3","u4","kernel","ridge_alpha","epochs","hidden","layers","batch_size","learning_rate","window","fd_relative_step","depth","rollout_horizon","ridge","solve_method","ss_max_steps","ss_steps_done","ss_residual_mean","ss_residual_max","pinv_rcond"
"dml_basis","graph_zero","heat","T1","u3","0.0","0.1480466031159961","713.0","False","[""u1"", ""u2"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","3.073007760299593","{""linear"": 0.07455501469077576, ""square"": 0.06433207353302396, ""cube"": -0.01529322950200788, ""tanh"": -0.197052942255354, ""signed_log1p"": -0.1837979697192971}","-0.0101252416174412","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T1","u4","0.0","0.2020355677387947","713.0","False","[""u1"", ""u2"", ""u3""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","1.1926289603787767","{""linear"": -0.666845160575185, ""square"": 0.497852426755089, ""cube"": -0.15668827847495162, ""tanh"": -0.2407324998786271, ""signed_log1p"": 1.0007969541925819}","0.2341600710791658","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T2","u1","0.3645599384088895","0.4019090044091837","713.0","True","[""u2"", ""u3"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","0.7937340560630288","{""linear"": -1.6862775824727874, ""square"": 1.4466248072317602, ""cube"": -0.35500002876914916, ""tanh"": 2.0362348403317276, ""signed_log1p"": -1.2960149725633194}","0.3645599384088895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T2","u2","9.77744110810011","0.161677767586842","713.0","True","[""u1"", ""u3"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","2.134779724551564","{""linear"": 10.177713263427831, ""square"": -0.1248287744991249, ""cube"": 0.025282674876079565, ""tanh"": 0.8009274538669513, ""signed_log1p"": -0.8042426319631343}","9.77744110810011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T2","u3","0.0","0.0797745126823168","713.0","False","[""u1"", ""u2"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","3.073007760299593","{""linear"": 0.5677102033341067, ""square"": 0.05500764409420994, ""cube"": -0.014385298700492034, ""tanh"": 1.110419135656248, ""signed_log1p"": -2.2049381582649006}","-0.0336296871241837","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T2","u4","0.0","0.2749620113635242","713.0","False","[""u1"", ""u2"", ""u3""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","1.1926289603787767","{""linear"": 1.755986242426156, ""square"": 0.12888723832653146, ""cube"": -0.04895216131663379, ""tanh"": 3.812802891645352, ""signed_log1p"": -6.380397741037455}","0.1219442917871651","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T3","u1","0.0648759996810727","0.0852303789966575","713.0","True","[""u2"", ""u3"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","0.7937340560630288","{""linear"": 0.27176771133425137, ""square"": 0.08738757664909107, ""cube"": -0.024351290432660447, ""tanh"": 0.39447298790747154, ""signed_log1p"": -0.9362607865584947}","0.0648759996810727","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T3","u2","0.0394360417297814","0.0583332816224972","713.0","True","[""u1"", ""u3"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","2.134779724551564","{""linear"": 0.04018942753039649, ""square"": 0.05157874648225247, ""cube"": -0.008878542485057166, ""tanh"": 0.08488266000774208, ""signed_log1p"": -0.3266596718798184}","0.0394360417297814","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T3","u3","10.000041090599284","0.0374549277406455","713.0","True","[""u1"", ""u2"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","3.073007760299593","{""linear"": 9.486064852335597, ""square"": 0.07348662745547868, ""cube"": -0.006831124673493583, ""tanh"": -0.4212591047950729, ""signed_log1p"": 1.0567291162302486}","10.000041090599284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T3","u4","-0.0709741806643994","0.1095975234567998","713.0","True","[""u1"", ""u2"", ""u3""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","1.1926289603787767","{""linear"": 0.2299457908506853, ""square"": -0.22896871775042382, ""cube"": 0.07182713496482102, ""tanh"": 0.641479552088998, ""signed_log1p"": -0.5686446966318791}","-0.0709741806643994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T4","u1","0.0","0.0616500209970572","713.0","False","[""u2"", ""u3"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","0.7937340560630288","{""linear"": 0.9428632406452336, ""square"": -0.36116312661312283, ""cube"": 0.026640451534231863, ""tanh"": -1.2388920470066245, ""signed_log1p"": 0.4548949884255318}","-0.0248992221052805","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T4","u2","0.0","0.0286705446381078","713.0","False","[""u1"", ""u3"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","2.134779724551564","{""linear"": 0.08070117937984575, ""square"": 0.012793151816639531, ""cube"": -0.004246736691995888, ""tanh"": 0.04526945647558848, ""signed_log1p"": -0.13092549786333993}","0.0379595919616297","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T4","u3","0.0","0.0506894702554748","713.0","False","[""u1"", ""u2"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","3.073007760299593","{""linear"": -0.33273391737728636, ""square"": 0.06403234479588304, ""cube"": -0.007338609788321185, ""tanh"": -0.4348482968490678, ""signed_log1p"": 0.5863565634773784}","-0.0068422086502563","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","T4","u4","9.875497053075913","0.0699991010858309","713.0","True","[""u1"", ""u2"", ""u3""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","1.1926289603787767","{""linear"": 8.635577838233877, ""square"": 0.22806575143086216, ""cube"": -0.02202683304070636, ""tanh"": -0.1544570898574459, ""signed_log1p"": 1.8365643700436474}","9.875497053075913","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","C","u1","2.189606507516816","0.1805429179041238","713.0","True","[""u2"", ""u3"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","0.7937340560630288","{""linear"": -0.30359789531389175, ""square"": 1.065750291567886, ""cube"": -0.1378549847649362, ""tanh"": 3.663331508078714, ""signed_log1p"": -1.7994047696377502}","2.189606507516816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","C","u2","1.7846847043061826","0.4499010526388738","713.0","True","[""u1"", ""u3"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","2.134779724551564","{""linear"": 1.5216129975670252, ""square"": 0.29345303276642026, ""cube"": -0.0037956139509601567, ""tanh"": 4.69256826723421, ""signed_log1p"": -3.740776311978572}","1.7846847043061826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","C","u3","1.572209456196887","0.9679835355122224","713.0","True","[""u1"", ""u2"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","3.073007760299593","{""linear"": -0.8992859582639635, ""square"": 0.09451492076176606, ""cube"": 0.012120643564376572, ""tanh"": 3.6909072926264033, ""signed_log1p"": 6.173609339554557}","1.572209456196887","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","C","u4","2.5106176451217737","0.1858660040041988","713.0","True","[""u1"", ""u2"", ""u3""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","1.1926289603787767","{""linear"": 2.203144689802714, ""square"": 0.23345626272358805, ""cube"": -0.09129911711712582, ""tanh"": -1.568371764668158, ""signed_log1p"": 1.3692824543545006}","2.5106176451217737","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","P","u1","8.436691513802172","0.738227860013237","713.0","True","[""u2"", ""u3"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","0.7937340560630288","{""linear"": 0.44989291848211505, ""square"": 2.5550765185396997, ""cube"": -0.13934498248405178, ""tanh"": 12.565604879279542, ""signed_log1p"": -5.182723427997053}","8.436691513802172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","P","u2","7.5884469004305215","1.5596941162679745","713.0","True","[""u1"", ""u3"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","2.134779724551564","{""linear"": 5.154705339764479, ""square"": 1.481244349405411, ""cube"": -0.060853923702557544, ""tanh"": 17.238365949950065, ""signed_log1p"": -12.528533008524093}","7.5884469004305215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","P","u3","6.288314557737362","3.69853406495628","713.0","True","[""u1"", ""u2"", ""u4""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","3.073007760299593","{""linear"": -3.01911570052761, ""square"": 0.137889178046589, ""cube"": 0.0825659168337829, ""tanh"": 13.524966755789027, ""signed_log1p"": 24.460330078524958}","6.288314557737362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_zero","heat","P","u4","9.051882634606168","0.466159714211329","713.0","True","[""u1"", ""u2"", ""u3""]","2.731986900093034","linear,square,cube,tanh,signed_log1p","1.1926289603787767","{""linear"": 6.940834963945513, ""square"": 0.48967690727451757, ""cube"": -0.06468977938575923, ""tanh"": -3.199566233761243, ""signed_log1p"": 4.8392689565347835}","9.051882634606168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
